Exception Archive
Fold  0
5 1000322_02_CM.txt 6 6 6 (137, 156) (137, 170) 137 137
6 1048582_02_CM.txt 7 7 7 (123, 156) (123, 170) 123 123
7 1092432_02_KH.txt 8 8 8 (170, 156) (170, 170) 170 170
8 1070112_02_KH.txt 9 9 9 (176, 156) (176, 170) 176 176
9 1058502_02_CM.txt 10 10 10 (132, 156) (132, 170) 132 132
10 1011362_02_CM.txt 11 11 11 (143, 156) (143, 170) 143 143
11 1047072_02_KH.txt 12 12 12 (135, 156) (135, 170) 135 135
12 1109062_02_KH.txt 13 13 13 (260, 156) (260, 170) 260 260
13 1012472_02_CM.txt 14 14 14 (80, 156) (80, 170) 80 80
14 1106092_02_CM.txt 15 15 15 (93, 156) (93, 170) 93 93
0 1006652_02_CM.txt 1 1 1 (66, 156) (66, 170) 66 66
1 1006692_02_CM.txt 2 2 2 (153, 156) (153, 170) 153 153
2 1006782_02_CM.txt 3 3 3 (46, 156) (46, 170) 46 46
3 1007092_02_CM.txt 4 4 4 (144, 156) (144, 170) 144 144
4 1007762_02_KH.txt 5 5 5 (140, 156) (140, 170) 140 140
5 1107882_02_CM.txt 6 6 6 (130, 156) (130, 170) 130 130
6 1008192_02_CM.txt 7 7 7 (132, 156) (132, 170) 132 132
7 1010542_02_KH.txt 8 8 8 (203, 156) (203, 170) 203 203
8 1011422_02_CM.txt 9 9 9 (190, 156) (190, 170) 190 190
9 1012242_02_CM.txt 10 10 10 (112, 156) (112, 170) 112 112
10 1013732_02_CM.txt 11 11 11 (143, 156) (143, 170) 143 143
11 1013872_02_KH.txt 12 12 12 (141, 156) (141, 170) 141 141
12 1016222_02_KH.txt 13 13 13 (122, 156) (122, 170) 122 122
13 1016292_02_CM.txt 14 14 14 (148, 156) (148, 170) 148 148
0 1047022_02_CM.txt 1 1 1 (150, 156) (150, 170) 150 150
1 1082352_02_KH.txt 2 2 2 (142, 156) (142, 170) 142 142
2 1023162_02_KH.txt 3 3 3 (162, 156) (162, 170) 162 162
3 1016272_02_CM.txt 4 4 4 (32, 156) (32, 170) 32 32
4 1020192_02_CM.txt 5 5 5 (222, 156) (222, 170) 222 222
5 1011412_02_CM.txt 6 6 6 (86, 156) (86, 170) 86 86
6 1041702_02_KH.txt 7 7 7 (130, 156) (130, 170) 130 130
7 1057362_02_CM.txt 8 8 8 (72, 156) (72, 170) 72 72
8 1004952_02_CM.txt 9 9 9 (109, 156) (109, 170) 109 109
9 1056312_02_CM.txt 10 10 10 (119, 156) (119, 170) 119 119
10 1039282_02_KH.txt 11 11 11 (154, 156) (154, 170) 154 154
11 1047262_02_CM.txt 12 12 12 (99, 156) (99, 170) 99 99
12 1029722_02_KH.txt 13 13 13 (179, 156) (179, 170) 179 179
13 1047112_02_CM.txt 14 14 14 (87, 156) (87, 170) 87 87
14 1036842_02_KH.txt 15 15 15 (133, 156) (133, 170) 133 133
15 1050312_02_KH.txt 16 16 16 (97, 156) (97, 170) 97 97
16 1044972_02_KH.txt 17 17 17 (158, 156) (158, 170) 158 158
17 1033382_02_KH.txt 18 18 18 (124, 156) (124, 170) 124 124
18 1013792_02_KH.txt 19 19 19 (209, 156) (209, 170) 209 209
19 1044882_02_KH.txt 20 20 20 (194, 156) (194, 170) 194 194
20 1017522_02_CM.txt 21 21 21 (71, 156) (71, 170) 71 71
21 1057382_02_CM.txt 22 22 22 (117, 156) (117, 170) 117 117
22 1006402_02_KH.txt 23 23 23 (112, 156) (112, 170) 112 112
23 1061792_02_KH.txt 24 24 24 (52, 156) (52, 170) 52 52
24 1090322_02_KH.txt 25 25 25 (156, 156) (156, 170) 156 156
25 1046952_02_CM.txt 26 26 26 (100, 156) (100, 170) 100 100
26 1022442_02_CM.txt 27 27 27 (207, 156) (207, 170) 207 207
27 1110532_02_CM.txt 28 28 28 (115, 156) (115, 170) 115 115
28 1067492_02_CM.txt 29 29 29 (143, 156) (143, 170) 143 143
29 1036282_02_CM.txt 30 30 30 (150, 156) (150, 170) 150 150
30 1076262_02_CM.txt 31 31 31 (208, 156) (208, 170) 208 208
31 1057562_02_CM.txt 32 32 32 (95, 156) (95, 170) 95 95
32 1036562_02_CM.txt 33 33 33 (103, 156) (103, 170) 103 103
33 1078142_02_KH.txt 34 34 34 (96, 156) (96, 170) 96 96
34 1019802_02_CM.txt 35 35 35 (155, 156) (155, 170) 155 155
35 1097512_02_KH.txt 36 36 36 (133, 156) (133, 170) 133 133
36 1044802_02_CM.txt 37 37 37 (95, 156) (95, 170) 95 95
37 1079072_02_CM.txt 38 38 38 (92, 156) (92, 170) 92 92
38 1050392_02_CM.txt 39 39 39 (121, 156) (121, 170) 121 121
39 1026192_02_CM.txt 40 40 40 (92, 156) (92, 170) 92 92
40 1084092_02_CM.txt 41 41 41 (206, 156) (206, 170) 206 206
41 1021082_02_CM.txt 42 42 42 (110, 156) (110, 170) 110 110
42 1031142_02_KH.txt 43 43 43 (92, 156) (92, 170) 92 92
43 1008132_02_CM.txt 44 44 44 (154, 156) (154, 170) 154 154
44 1041852_02_CM.txt 45 45 45 (68, 156) (68, 170) 68 68
45 1085332_02_CM.txt 46 46 46 (115, 156) (115, 170) 115 115
46 1075962_02_CM.txt 47 47 47 (221, 156) (221, 170) 221 221
47 1021332_02_CM.txt 48 48 48 (193, 156) (193, 170) 193 193
48 1023382_02_CM.txt 49 49 49 (261, 156) (261, 170) 261 261
49 1024252_02_KH.txt 50 50 50 (104, 156) (104, 170) 104 104
50 1048132_02_KH.txt 51 51 51 (129, 156) (129, 170) 129 129
51 1101672_02_CM.txt 52 52 52 (77, 156) (77, 170) 77 77
52 1011312_02_KH.txt 53 53 53 (118, 156) (118, 170) 118 118
53 1079252_02_KH.txt 54 54 54 (133, 156) (133, 170) 133 133
54 1026182_02_CM.txt 55 55 55 (128, 156) (128, 170) 128 128
55 1111182_02_CM.txt 56 56 56 (50, 156) (50, 170) 50 50
56 1004042_02_KH.txt 57 57 57 (124, 156) (124, 170) 124 124
57 1026822_02_CM.txt 58 58 58 (94, 156) (94, 170) 94 94
58 1059892_02_CM.txt 59 59 59 (161, 156) (161, 170) 161 161
59 1039062_02_KH.txt 60 60 60 (158, 156) (158, 170) 158 158
60 1026122_02_KH.txt 61 61 61 (95, 156) (95, 170) 95 95
61 1026592_02_CM.txt 62 62 62 (132, 156) (132, 170) 132 132
62 1030372_02_KH.txt 63 63 63 (120, 156) (120, 170) 120 120
63 1047172_02_CM.txt 64 64 64 (138, 156) (138, 170) 138 138
64 1026502_02_KH.txt 65 65 65 (57, 156) (57, 170) 57 57
65 1024022_02_KH.txt 66 66 66 (178, 156) (178, 170) 178 178
66 1016322_02_CM.txt 67 67 67 (154, 156) (154, 170) 154 154
67 1047102_02_CM.txt 68 68 68 (91, 156) (91, 170) 91 91
68 1046882_02_CM.txt 69 69 69 (96, 156) (96, 170) 96 96
69 1021472_02_KH.txt 70 70 70 (156, 156) (156, 170) 156 156
70 1041202_02_CM.txt 71 71 71 (92, 156) (92, 170) 92 92
71 1002932_02_KH.txt 72 72 72 (87, 156) (87, 170) 87 87
72 1035422_02_CM.txt 73 73 73 (225, 156) (225, 170) 225 225
73 1036792_02_CM.txt 74 74 74 (194, 156) (194, 170) 194 194
74 1042372_02_CM.txt 75 75 75 (64, 156) (64, 170) 64 64
75 1029902_02_KH.txt 76 76 76 (159, 156) (159, 170) 159 159
76 1011402_02_KH.txt 77 77 77 (107, 156) (107, 170) 107 107
77 1047092_02_CM.txt 78 78 78 (66, 156) (66, 170) 66 66
78 1000172_02_KH.txt 79 79 79 (109, 156) (109, 170) 109 109
79 1041482_02_KH.txt 80 80 80 (142, 156) (142, 170) 142 142
81 1026442_02_CM.txt 81 81 81 (172, 156) (172, 170) 172 172
82 1006372_02_KH.txt 82 82 82 (104, 156) (104, 170) 104 104
83 1057292_02_KH.txt 83 83 83 (172, 156) (172, 170) 172 172
84 1020682_02_CM.txt 84 84 84 (147, 156) (147, 170) 147 147
85 1095942_02_KH.txt 85 85 85 (273, 156) (273, 170) 273 273
86 1026902_02_KH.txt 86 86 86 (155, 156) (155, 170) 155 155
87 1026292_02_KH.txt 87 87 87 (131, 156) (131, 170) 131 131
88 1026392_02_CM.txt 88 88 88 (100, 156) (100, 170) 100 100
89 1013172_02_CM.txt 89 89 89 (30, 156) (30, 170) 30 30
90 1045962_02_CM.txt 90 90 90 (100, 156) (100, 170) 100 100
91 1105682_02_CM.txt 91 91 91 (81, 156) (81, 170) 81 81
92 1030852_02_CM.txt 92 92 92 (175, 156) (175, 170) 175 175
93 1020132_02_KH.txt 93 93 93 (140, 156) (140, 170) 140 140
94 1042972_02_KH.txt 94 94 94 (114, 156) (114, 170) 114 114
95 1066612_02_CM.txt 95 95 95 (180, 156) (180, 170) 180 180
96 1019322_02_KH.txt 96 96 96 (170, 156) (170, 170) 170 170
97 1041762_02_KH.txt 97 97 97 (147, 156) (147, 170) 147 147
98 1026532_02_KH.txt 98 98 98 (195, 156) (195, 170) 195 195
99 1028312_02_CM.txt 99 99 99 (127, 156) (127, 170) 127 127
100 1052442_02_KH.txt 100 100 100 (124, 156) (124, 170) 124 124
101 1004532_02_CM.txt 101 101 101 (118, 156) (118, 170) 118 118
102 1082892_02_CM.txt 102 102 102 (120, 156) (120, 170) 120 120
103 1010462_02_CM.txt 103 103 103 (186, 156) (186, 170) 186 186
104 1086032_02_CM.txt 104 104 104 (122, 156) (122, 170) 122 122
105 1047202_02_CM.txt 105 105 105 (40, 156) (40, 170) 40 40
